Category,Keyword,Search Intent,Est. Monthly Volume,Difficulty,Priority,Target URL,Content Type,Status,Target Publish Date,Title Tag,Meta Description
Long-tail,flat roof replacement winter Canada,Seasonal,Low,Low,P3,/blog/flat-roof-replacement-winter,Blog Seasonal,Not Started,Month 3,"Can You Replace a Flat Roof in Winter? Canadian Guide | RoofRFQ","Yes with the right materials and conditions. Guide to winter flat roof replacement in Canada."
Long-tail,condo flat roof replacement,Informational,Low,Low,P3,/blog/condo-flat-roof-replacement,Blog FAQ,Not Started,Month 3,"Condo Flat Roof Replacement — Who Pays? | RoofRFQ","Condo board responsibilities reserve funds and special assessments for flat roof replacement. Canadian guide."
Local,flat roof replacement Vancouver,Local,Medium,High,P1,/flat-roof-replacement-vancouver,Local Landing Page,Not Started,Week 4,"Flat Roof Replacement Vancouver — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Vancouver contractors. Free RFQ."
Local,flat roof replacement Calgary,Local,Low-Med,Medium,P2,/flat-roof-replacement-calgary,Local Landing Page,Not Started,Month 2,"Flat Roof Replacement Calgary — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Calgary contractors. Free RFQ."
Local,flat roof replacement Ottawa,Local,Low-Med,Medium,P2,/flat-roof-replacement-ottawa,Local Landing Page,Not Started,Month 2,"Flat Roof Replacement Ottawa — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Ottawa contractors. Free RFQ."
Local,flat roof replacement Montreal,Local,Medium,High,P2,/flat-roof-replacement-montreal,Local Landing Page,Not Started,Month 2,"Flat Roof Replacement Montreal — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Montreal contractors. Free RFQ."
Local,flat roof replacement Edmonton,Local,Low-Med,Medium,P3,/flat-roof-replacement-edmonton,Local Landing Page,Not Started,Month 3,"Flat Roof Replacement Edmonton — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Edmonton contractors. Free RFQ."
Local,flat roof replacement Winnipeg,Local,Low,Medium,P3,/flat-roof-replacement-winnipeg,Local Landing Page,Not Started,Month 3,"Flat Roof Replacement Winnipeg — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Winnipeg contractors. Free RFQ."
Local,flat roof replacement Hamilton,Local,Low,Medium,P3,/flat-roof-replacement-hamilton,Local Landing Page,Not Started,Month 3,"Flat Roof Replacement Hamilton — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Hamilton contractors. Free RFQ."
Local,flat roof replacement Mississauga,Local,Low-Med,Medium,P3,/flat-roof-replacement-mississauga,Local Landing Page,Not Started,Month 3,"Flat Roof Replacement Mississauga — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Mississauga contractors. Free RFQ."
Local,flat roof replacement Brampton,Local,Low,Medium,P3,/flat-roof-replacement-brampton,Local Landing Page,Not Started,Month 3,"Flat Roof Replacement Brampton — Free Quotes | RoofRFQ","Get competitive flat roof replacement quotes from vetted Brampton contractors. Free RFQ."
GEO,best way to get flat roof quotes Canada,AI Search,Low,Low,P1,/blog/flat-roof-replacement-cost-ontario,Blog — GEO optimized,Not Started,Week 2,"","(covered by cost guide — structure for AI citability)"
GEO,flat roof replacement platform Canada,AI Search,Low,Low,P1,/,Homepage — GEO optimized,Live,"","","(schema markup + brand mentions drive this)"
GEO,compare flat roof contractors,AI Search,Low,Low,P2,/blog/how-to-choose-flat-roof-contractor,Blog — GEO optimized,Not Started,Month 2,"","(covered by contractor guide — FAQ schema)"
